start_timestamp,end_timestamp,user_id,duration,start_time
1365440572,1365441449,u0,877,2013-04-08 17:02:52
1365441490,1365441641,u0,151,2013-04-08 17:18:10
1365452214,1365453222,u0,1008,2013-04-08 20:16:54
1365453262,1365453343,u0,81,2013-04-08 20:34:22
1365454075,1365454186,u0,111,2013-04-08 20:47:55
1365454196,1365454488,u0,292,2013-04-08 20:49:56
1365457616,1365464625,u0,7009,2013-04-08 21:46:56
1365464835,1365465259,u0,424,2013-04-08 23:47:15
1365477288,1365477429,u0,141,2013-04-09 03:14:48
1365478913,1365478994,u0,81,2013-04-09 03:41:53
1365517011,1365517516,u0,505,2013-04-09 14:16:51
1365518719,1365518820,u0,101,2013-04-09 14:45:19
1365519740,1365523167,u0,3427,2013-04-09 15:02:20
1365523438,1365523559,u0,121,2013-04-09 16:03:58
1365525201,1365525342,u0,141,2013-04-09 16:33:21
1365530635,1365534932,u0,4297,2013-04-09 18:03:55
1365535894,1365535975,u0,81,2013-04-09 19:31:34
1365536195,1365536296,u0,101,2013-04-09 19:36:35
1365537459,1365537752,u0,293,2013-04-09 19:57:39
1365537762,1365538750,u0,988,2013-04-09 20:02:42
1365538960,1365539848,u0,888,2013-04-09 20:22:40
1365539888,1365543044,u0,3156,2013-04-09 20:38:08
1365543275,1365546563,u0,3288,2013-04-09 21:34:35
1365546773,1365547539,u0,766,2013-04-09 22:32:53
1365547570,1365548094,u0,524,2013-04-09 22:46:10
1365548114,1365548467,u0,353,2013-04-09 22:55:14
1365548688,1365550312,u0,1624,2013-04-09 23:04:48
1365550802,1365554835,u0,4033,2013-04-09 23:40:02
1365556740,1365556810,u0,70,2013-04-10 01:19:00
1365556820,1365556972,u0,152,2013-04-10 01:20:20
1365557964,1365558055,u0,91,2013-04-10 01:39:24
1365558296,1365558407,u0,111,2013-04-10 01:44:56
1365558417,1365558497,u0,80,2013-04-10 01:46:57
1365560423,1365560665,u0,242,2013-04-10 02:20:23
1365603660,1365606460,u0,2800,2013-04-10 14:21:00
1365607883,1365612211,u0,4328,2013-04-10 15:31:23
1365613414,1365613515,u0,101,2013-04-10 17:03:34
1365616872,1365617104,u0,232,2013-04-10 18:01:12
1365618567,1365618980,u0,413,2013-04-10 18:29:27
1365619952,1365620678,u0,726,2013-04-10 18:52:32
1365622843,1365622924,u0,81,2013-04-10 19:40:43
1365623425,1365623588,u0,163,2013-04-10 19:50:25
1365624499,1365625780,u0,1281,2013-04-10 20:08:19
1365626241,1365627048,u0,807,2013-04-10 20:37:21
1365627529,1365627670,u0,141,2013-04-10 20:58:49
1365627690,1365628487,u0,797,2013-04-10 21:01:30
1365628697,1365629635,u0,938,2013-04-10 21:18:17
1365630338,1365635550,u0,5212,2013-04-10 21:45:38
1365640835,1365641228,u0,393,2013-04-11 00:40:35
1365641679,1365641750,u0,71,2013-04-11 00:54:39
1365644396,1365644506,u0,110,2013-04-11 01:39:56
1365644978,1365650211,u0,5233,2013-04-11 01:49:38
1365650451,1365652700,u0,2249,2013-04-11 03:20:51
1365653422,1365653452,u0,30,2013-04-11 04:10:22
1365659235,1365659306,u0,71,2013-04-11 05:47:15
1365659526,1365659829,u0,303,2013-04-11 05:52:06
1365660313,1365660917,u0,604,2013-04-11 06:05:13
1365661168,1365661279,u0,111,2013-04-11 06:19:28
1365661530,1365661802,u0,272,2013-04-11 06:25:30
1365695230,1365695543,u0,313,2013-04-11 15:47:10
1365696224,1365700025,u0,3801,2013-04-11 16:03:44
1365701960,1365702011,u0,51,2013-04-11 17:39:20
1365702251,1365702423,u0,172,2013-04-11 17:44:11
1365702914,1365706979,u0,4065,2013-04-11 17:55:14
1365707009,1365709793,u0,2784,2013-04-11 19:03:29
1365710034,1365710598,u0,564,2013-04-11 19:53:54
1365710819,1365711353,u0,534,2013-04-11 20:06:59
1365711594,1365712955,u0,1361,2013-04-11 20:19:54
1365713186,1365713983,u0,797,2013-04-11 20:46:26
1365714183,1365715091,u0,908,2013-04-11 21:03:03
1365715111,1365720890,u0,5779,2013-04-11 21:18:31
1365720910,1365721061,u0,151,2013-04-11 22:55:10
1365721292,1365721413,u0,121,2013-04-11 23:01:32
1365721413,1365721503,u0,90,2013-04-11 23:03:33
1365731841,1365733303,u0,1462,2013-04-12 01:57:21
1365734233,1365734637,u0,404,2013-04-12 02:37:13
1365775975,1365776738,u0,763,2013-04-12 14:12:55
1365776969,1365779350,u0,2381,2013-04-12 14:29:29
1365781497,1365781826,u0,329,2013-04-12 15:44:57
1365783521,1365783844,u0,323,2013-04-12 16:18:41
1365802830,1365803586,u0,756,2013-04-12 21:40:30
1365803816,1365805410,u0,1594,2013-04-12 21:56:56
1365805611,1365808031,u0,2420,2013-04-12 22:26:51
1365808271,1365808877,u0,606,2013-04-12 23:11:11
1365809126,1365810186,u0,1060,2013-04-12 23:25:26
1365810427,1365810719,u0,292,2013-04-12 23:47:07
1365811471,1365811602,u0,131,2013-04-13 00:04:31
1365812033,1365816107,u0,4074,2013-04-13 00:13:53
1365819426,1365821220,u0,1794,2013-04-13 02:17:06
1365821250,1365826885,u0,5635,2013-04-13 02:47:30
1365868220,1365870217,u0,1997,2013-04-13 15:50:20
1365870438,1365870579,u0,141,2013-04-13 16:27:18
1365870799,1365873423,u0,2624,2013-04-13 16:33:19
1365873684,1365873905,u0,221,2013-04-13 17:21:24
1365874146,1365874760,u0,614,2013-04-13 17:29:06
1365875001,1365877000,u0,1999,2013-04-13 17:43:21
1365877230,1365879659,u0,2429,2013-04-13 18:20:30
1365879869,1365881040,u0,1171,2013-04-13 19:04:29
1365882954,1365883085,u0,131,2013-04-13 19:55:54
1365884017,1365884077,u0,60,2013-04-13 20:13:37
1365885060,1365885130,u0,70,2013-04-13 20:31:00
1365885842,1365885902,u0,60,2013-04-13 20:44:02
1365886373,1365886454,u0,81,2013-04-13 20:52:53
1365887697,1365890782,u0,3085,2013-04-13 21:14:57
1365892746,1365892807,u0,61,2013-04-13 22:39:06
1365897578,1365897921,u0,343,2013-04-13 23:59:38
1365898121,1365898363,u0,242,2013-04-14 00:08:41
